conf, # of clusters, key, 0, 1000, 2000, 4000, 8000, 16000, 32000, 64000
5, 6, xor 2, 263.2, 298.95, 351.5, 347.45, 302.35, 300.88, 326.39, 298.42
5, 6, xor 3, 225.81, 259.23, 298.41, 301.93, 261.67, 256.84, 774.72, 256.44
5, 6, xor 4, 222.23, 255.49, 296.85, 296.54, 258.23, 257.67, 278.0, 256.65
6, 1, total, 3358.16, 3363.06, 3510.99, 3532.01, 3361.97, 3955.93, 3454.43, 3118.97
6, 1, counter value, 140.56, 137.21, 137.04, 123.27, 141.19, 170.28, 141.18, 118.77
6, 1, others 1, 140.75, 140.01, 145.58, 132.4, 136.47, 151.03, 139.88, 118.41
6, 1, others 2, 244.53, 239.73, 244.81, 215.54, 242.09, 268.53, 245.18, 213.83
6, 1, others 3, 354.33, 356.31, 465.35, 466.89, 358.62, 512.82, 455.72, 458.91
6, 1, aes 1, 261.39, 261.72, 251.84, 227.91, 259.13, 305.77, 250.11, 245.91
6, 1, aes 2, 217.2, 214.61, 216.82, 199.59, 215.9, 242.48, 216.81, 206.09
6, 1, xor 1, 295.52, 299.53, 299.96, 262.53, 295.37, 334.49, 298.45, 258.76
6, 1, xor 2, 295.56, 297.31, 298.42, 265.93, 298.55, 334.91, 293.84, 262.64
6, 1, xor 3, 254.33, 255.29, 253.26, 222.19, 253.11, 282.26, 256.24, 221.18
6, 1, xor 4, 255.85, 256.35, 256.42, 227.31, 256.57, 287.66, 256.8, 225.49
