# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
2k, 3, 1, 1, false, 10, 1617.7, 83.0, 10, 2884.0, 225.93
2k, 4, 1, 0, true, 10, 2130.1, 145.44, 10, 10943.2, 422.67
2k, 4, 1, 0, false, 10, 2702.1, 131.55, 10, 2557.6, 141.68
2k, 4, 1, 1, true, 10, 1756.6, 142.38, 10, 10684.6, 362.85
2k, 4, 1, 1, false, 10, 2342.8, 277.78, 10, 2367.9, 151.72
2k, 5, 2, 0, true, 10, 1620.8, 128.29, 10, 1362.2, 141.56
2k, 5, 2, 0, false, 10, 2005.1, 155.16, 10, 2882.2, 246.06
2k, 5, 2, 1, true, 10, 1367.4, 211.43, 10, 1410.5, 157.71
2k, 5, 2, 1, false, 10, 1798.5, 244.46, 10, 2794.3, 172.1
2k, 5, 4, 0, true, 10, 1662.4, 162.15, 10, 2196.8, 103.29
2k, 5, 4, 0, false, 10, 2027.9, 240.41, 10, 3782.4, 280.67
2k, 5, 4, 1, true, 10, 1299.4, 111.3, 10, 2117.3, 119.67
2k, 5, 4, 1, false, 10, 1808.5, 219.31, 10, 3591.8, 115.02
2k, 5, 6, 0, true, 10, 1683.8, 97.76, 10, 1628.6, 108.18
2k, 5, 6, 0, false, 10, 2047.1, 182.15, 10, 1637.8, 108.91
2k, 5, 6, 1, true, 10, 1370.3, 167.26, 10, 1655.6, 83.47
2k, 5, 6, 1, false, 10, 1657.8, 159.72, 10, 1689.6, 101.39
2k, 6, 1, 0, true, 10, 1590.5, 105.17, 10, 1053.0, 83.15
2k, 6, 1, 0, false, 10, 2015.9, 176.18, 10, 3000.0, 205.59
2k, 6, 1, 1, true, 10, 1211.3, 86.65, 10, 983.7, 153.15
2k, 6, 1, 1, false, 10, 1562.2, 148.42, 10, 2807.5, 168.82
2k, 7, 2, 0, true, 10, 382.8, 4.77, 10, 738.7, 253.64
2k, 7, 2, 0, false, 10, 430.8, 12.57, 10, 944.8, 316.18
2k, 7, 2, 1, true, 10, 277.3, 3.72, 10, 742.0, 145.04
2k, 7, 2, 1, false, 10, 333.7, 13.12, 10, 886.6, 316.74
2k, 7, 4, 0, true, 10, 442.5, 9.94, 10, 969.0, 262.15
2k, 7, 4, 0, false, 10, 495.1, 7.67, 10, 974.1, 249.04
2k, 7, 4, 1, true, 10, 334.9, 11.88, 10, 839.6, 137.78
2k, 7, 4, 1, false, 10, 380.5, 14.64, 10, 649.4, 101.59
2k, 7, 6, 0, true, 10, 441.4, 15.32, 10, 930.0, 310.87
2k, 7, 6, 0, false, 10, 510.7, 17.73, 10, 1156.6, 353.36
2k, 7, 6, 1, true, 10, 330.0, 7.81, 10, 629.8, 188.3
2k, 7, 6, 1, false, 10, 379.6, 13.34, 10, 729.3, 242.0
2k, 8, 1, 0, true, 10, 373.9, 12.03, 10, 812.3, 220.23
2k, 8, 1, 0, false, 10, 422.2, 13.99, 10, 613.3, 178.71
2k, 8, 1, 1, true, 10, 273.7, 6.74, 10, 797.7, 342.55
2k, 8, 1, 1, false, 10, 325.1, 15.16, 10, 624.9, 246.7
2k, 9, 2, 0, true, 10, 397.2, 22.28, 10, 1147.5, 295.68
2k, 9, 2, 0, false, 10, 505.3, 53.85, 10, 692.3, 204.12
2k, 9, 2, 1, true, 10, 331.0, 20.36, 10, 1166.0, 257.85
2k, 9, 2, 1, false, 10, 447.4, 39.14, 10, 495.9, 178.81
2k, 9, 4, 0, true, 10, 398.0, 19.76, 10, 1054.4, 192.3
2k, 9, 4, 0, false, 10, 491.4, 42.42, 10, 904.2, 323.41
2k, 9, 4, 1, true, 10, 342.7, 31.82, 10, 869.6, 196.37
2k, 9, 4, 1, false, 10, 416.8, 38.06, 10, 636.7, 102.63
2k, 9, 6, 0, true, 10, 383.3, 22.07, 10, 886.1, 322.51
2k, 9, 6, 0, false, 10, 501.2, 45.22, 10, 597.8, 130.01
2k, 9, 6, 1, true, 10, 328.7, 18.17, 10, 768.5, 120.53
2k, 9, 6, 1, false, 10, 429.9, 28.61, 10, 483.8, 60.12
2k, 10, 1, 0, true, 10, 374.7, 19.8, 10, 648.0, 167.24
2k, 10, 1, 0, false, 10, 476.3, 28.25, 10, 586.5, 211.29
2k, 10, 1, 1, true, 10, 316.1, 23.41, 10, 603.0, 78.7
2k, 10, 1, 1, false, 10, 414.9, 40.53, 10, 468.1, 149.42
3k, 1, 1, 0, true, 10, 2076.9, 128.3, 10, 9615.2, 479.67
3k, 1, 1, 0, false, 10, 2125.4, 164.32, 10, 3162.0, 233.9
3k, 1, 1, 1, true, 10, 1628.1, 38.51, 10, 9148.4, 298.55
3k, 1, 1, 1, false, 10, 1674.0, 154.32, 10, 3083.3, 220.89
3k, 2, 2, 0, true, 10, 1762.0, 68.58, 10, 1361.6, 48.79
3k, 2, 2, 0, false, 10, 2137.4, 107.95, 10, 3397.9, 174.02
3k, 2, 2, 1, true, 10, 1271.5, 13.76, 10, 1382.5, 95.44
3k, 2, 2, 1, false, 10, 1647.0, 69.35, 10, 3257.2, 107.59
3k, 2, 4, 0, true, 10, 1722.5, 38.2, 10, 1890.8, 137.3
3k, 2, 4, 0, false, 10, 2234.6, 98.03, 10, 3207.8, 109.23
3k, 2, 4, 1, true, 10, 1226.9, 35.73, 10, 1788.9, 110.97
3k, 2, 4, 1, false, 10, 1701.4, 87.65, 10, 3312.7, 132.54
3k, 2, 6, 0, true, 10, 1758.6, 106.97, 10, 511.8, 56.86
3k, 2, 6, 0, false, 10, 2229.7, 212.6, 10, 2850.5, 181.16
3k, 2, 6, 1, true, 10, 1233.5, 64.07, 10, 503.1, 28.51
3k, 2, 6, 1, false, 10, 1736.3, 109.51, 10, 2914.3, 199.77
3k, 3, 1, 0, true, 10, 1724.3, 122.2, 10, 445.2, 29.16
3k, 3, 1, 0, false, 10, 2165.5, 152.45, 10, 3571.8, 83.83
3k, 3, 1, 1, true, 10, 1198.1, 81.89, 10, 440.9, 23.19
3k, 3, 1, 1, false, 10, 1619.2, 95.72, 10, 3363.7, 260.82
3k, 4, 1, 0, true, 10, 2206.3, 349.26, 10, 11751.5, 1571.66
3k, 4, 1, 0, false, 10, 2550.1, 260.46, 10, 2659.1, 192.64
3k, 4, 1, 1, true, 10, 1815.5, 119.57, 10, 11113.8, 624.17
3k, 4, 1, 1, false, 10, 2075.8, 182.55, 10, 2448.2, 169.36
3k, 5, 2, 0, true, 10, 1617.8, 161.06, 10, 1317.7, 122.43
3k, 5, 2, 0, false, 10, 2206.5, 245.96, 10, 3481.9, 236.25
3k, 5, 2, 1, true, 10, 1473.8, 277.03, 10, 1279.2, 101.86
3k, 5, 2, 1, false, 10, 1894.8, 329.28, 10, 3646.6, 430.52
3k, 5, 4, 0, true, 10, 1643.3, 205.52, 10, 1769.2, 100.87
3k, 5, 4, 0, false, 10, 2061.6, 210.01, 10, 3713.5, 176.26
3k, 5, 4, 1, true, 10, 1436.4, 128.05, 10, 1731.0, 134.64
3k, 5, 4, 1, false, 10, 1850.7, 268.57, 10, 3630.8, 314.07
3k, 5, 6, 0, true, 10, 1638.6, 129.59, 10, 1698.3, 88.47
3k, 5, 6, 0, false, 10, 1935.2, 79.72, 10, 2204.3, 88.21
3k, 5, 6, 1, true, 10, 1426.7, 123.19, 10, 1756.5, 81.04
3k, 5, 6, 1, false, 10, 1710.7, 200.49, 10, 2298.4, 161.26
3k, 6, 1, 0, true, 10, 1597.3, 157.63, 10, 1091.1, 84.01
3k, 6, 1, 0, false, 10, 1879.7, 139.78, 10, 3021.5, 242.33
3k, 6, 1, 1, true, 10, 1390.9, 206.91, 10, 1030.8, 121.39
3k, 6, 1, 1, false, 10, 1700.1, 182.24, 10, 3011.5, 337.31
3k, 7, 2, 0, true, 10, 382.0, 11.38, 10, 729.6, 188.85
3k, 7, 2, 0, false, 10, 438.5, 10.09, 10, 965.7, 333.3
3k, 7, 2, 1, true, 10, 290.9, 10.91, 10, 885.5, 262.86
3k, 7, 2, 1, false, 10, 336.9, 11.84, 10, 1230.1, 278.16
3k, 7, 4, 0, true, 10, 449.5, 10.05, 10, 1154.1, 342.4
3k, 7, 4, 0, false, 10, 497.3, 13.62, 10, 1016.1, 317.31
3k, 7, 4, 1, true, 10, 329.3, 11.76, 10, 1023.5, 252.09
3k, 7, 4, 1, false, 10, 383.1, 17.79, 10, 840.6, 153.58
3k, 7, 6, 0, true, 10, 445.9, 17.42, 10, 942.6, 363.12
3k, 7, 6, 0, false, 10, 507.4, 13.12, 10, 1224.4, 234.7
3k, 7, 6, 1, true, 10, 331.7, 8.38, 10, 722.7, 303.2
3k, 7, 6, 1, false, 10, 381.8, 12.99, 10, 1101.6, 250.02
3k, 8, 1, 0, true, 10, 376.8, 6.03, 10, 988.2, 242.45
3k, 8, 1, 0, false, 10, 418.7, 10.33, 10, 751.3, 183.9
3k, 8, 1, 1, true, 10, 274.7, 5.29, 10, 830.3, 168.12
3k, 8, 1, 1, false, 10, 317.6, 14.44, 10, 615.5, 167.74
3k, 9, 2, 0, true, 10, 413.5, 18.13, 10, 1190.8, 242.33
3k, 9, 2, 0, false, 10, 534.6, 52.49, 10, 828.9, 214.74
3k, 9, 2, 1, true, 10, 337.6, 29.89, 10, 1196.8, 285.96
3k, 9, 2, 1, false, 10, 456.6, 48.38, 10, 780.1, 175.63
3k, 9, 4, 0, true, 10, 385.5, 25.39, 10, 1149.7, 235.53
3k, 9, 4, 0, false, 10, 519.0, 32.88, 10, 973.5, 177.93
3k, 9, 4, 1, true, 10, 320.7, 21.75, 10, 1234.9, 389.62
3k, 9, 4, 1, false, 10, 472.5, 39.11, 10, 1197.5, 341.43
3k, 9, 6, 0, true, 10, 433.8, 39.3, 10, 933.4, 325.89
3k, 9, 6, 0, false, 10, 524.2, 56.76, 10, 799.4, 285.44
3k, 9, 6, 1, true, 10, 341.2, 28.77, 10, 820.7, 227.2
3k, 9, 6, 1, false, 10, 426.0, 45.15, 10, 662.8, 154.29
3k, 10, 1, 0, true, 10, 376.0, 23.31, 10, 723.6, 141.82
3k, 10, 1, 0, false, 10, 482.2, 42.57, 10, 837.3, 195.02
3k, 10, 1, 1, true, 10, 316.2, 28.84, 10, 616.7, 126.55
3k, 10, 1, 1, false, 10, 456.9, 34.82, 10, 657.4, 214.14
4k, 1, 1, 0, true, 10, 2101.8, 141.27, 10, 9690.7, 412.49
4k, 1, 1, 0, false, 10, 2132.6, 148.14, 10, 3357.4, 227.25
4k, 1, 1, 1, true, 10, 1647.3, 62.63, 10, 9112.1, 170.17
4k, 1, 1, 1, false, 10, 1627.3, 52.61, 10, 3139.6, 204.8
4k, 2, 2, 0, true, 10, 1807.5, 104.87, 10, 1927.5, 135.98
4k, 2, 2, 0, false, 10, 2326.0, 157.53, 10, 4046.6, 453.24
4k, 2, 2, 1, true, 10, 1280.1, 62.25, 10, 1958.1, 164.44
4k, 2, 2, 1, false, 10, 1770.1, 108.22, 10, 3967.5, 240.91
4k, 2, 4, 0, true, 10, 1770.4, 93.98, 10, 1869.7, 98.64
4k, 2, 4, 0, false, 10, 2195.4, 55.98, 10, 3305.4, 115.61
4k, 2, 4, 1, true, 10, 1284.4, 179.7, 10, 1877.6, 86.35
4k, 2, 4, 1, false, 10, 1788.0, 186.95, 10, 3380.6, 269.44
4k, 2, 6, 0, true, 10, 1742.3, 85.33, 10, 514.5, 44.32
4k, 2, 6, 0, false, 10, 2271.3, 105.51, 10, 3071.1, 196.53
4k, 2, 6, 1, true, 10, 1231.4, 36.73, 10, 514.6, 48.26
4k, 2, 6, 1, false, 10, 1760.2, 118.99, 10, 2909.1, 153.37
4k, 3, 1, 0, true, 10, 1759.8, 123.01, 10, 461.6, 51.24
4k, 3, 1, 0, false, 10, 2339.8, 256.7, 10, 3413.3, 195.95
4k, 3, 1, 1, true, 10, 1200.5, 44.21, 10, 439.0, 34.32
4k, 3, 1, 1, false, 10, 1674.9, 71.85, 10, 3317.4, 174.8
4k, 4, 1, 0, true, 10, 2103.1, 168.84, 10, 12077.1, 269.48
4k, 4, 1, 0, false, 10, 2435.4, 150.81, 10, 3202.2, 209.33
4k, 4, 1, 1, true, 10, 1662.5, 152.74, 10, 11737.9, 639.23
4k, 4, 1, 1, false, 10, 1984.7, 272.26, 10, 3095.9, 254.14
4k, 5, 2, 0, true, 10, 1716.5, 139.85, 10, 1245.9, 90.48
4k, 5, 2, 0, false, 10, 2035.9, 200.55, 10, 3825.7, 184.29
4k, 5, 2, 1, true, 10, 1337.1, 102.47, 10, 1295.4, 231.42
4k, 5, 2, 1, false, 10, 1650.1, 152.46, 10, 3753.2, 262.22
4k, 5, 4, 0, true, 10, 1686.9, 179.81, 10, 1902.5, 188.23
4k, 5, 4, 0, false, 10, 2120.5, 291.93, 10, 3257.9, 310.04
4k, 5, 4, 1, true, 10, 1333.3, 151.78, 10, 1759.4, 133.07
4k, 5, 4, 1, false, 10, 1707.6, 192.56, 10, 3184.4, 286.84
4k, 5, 6, 0, true, 10, 1658.2, 111.33, 10, 1640.8, 74.96
4k, 5, 6, 0, false, 10, 1974.4, 211.32, 10, 2411.5, 131.12
4k, 5, 6, 1, true, 10, 1467.3, 79.43, 10, 1610.4, 88.14
4k, 5, 6, 1, false, 10, 1708.9, 225.71, 10, 2263.4, 123.99
4k, 6, 1, 0, true, 10, 1653.9, 102.94, 10, 1146.7, 109.86
4k, 6, 1, 0, false, 10, 1971.6, 213.63, 10, 3970.3, 178.72
4k, 6, 1, 1, true, 10, 1292.3, 105.36, 10, 1008.3, 127.02
4k, 6, 1, 1, false, 10, 1611.1, 133.5, 10, 3937.4, 263.25
4k, 7, 2, 0, true, 10, 385.1, 9.31, 10, 929.8, 142.3
4k, 7, 2, 0, false, 10, 430.5, 19.49, 10, 1643.1, 255.77
4k, 7, 2, 1, true, 10, 289.3, 9.47, 10, 764.9, 186.45
4k, 7, 2, 1, false, 10, 337.4, 5.12, 10, 1498.8, 298.85
4k, 7, 4, 0, true, 10, 460.6, 8.59, 10, 1409.1, 297.94
4k, 7, 4, 0, false, 10, 502.6, 14.98, 10, 1664.2, 390.01
4k, 7, 4, 1, true, 10, 332.4, 9.91, 10, 1460.4, 357.91
4k, 7, 4, 1, false, 10, 395.8, 20.75, 10, 1606.6, 436.98
4k, 7, 6, 0, true, 10, 471.6, 30.5, 10, 1264.3, 407.91
4k, 7, 6, 0, false, 10, 527.7, 20.53, 10, 1461.3, 260.87
4k, 7, 6, 1, true, 10, 341.0, 11.54, 10, 954.6, 364.72
4k, 7, 6, 1, false, 10, 391.8, 9.94, 10, 1282.5, 351.54
4k, 8, 1, 0, true, 10, 374.7, 8.05, 10, 1139.3, 164.9
4k, 8, 1, 0, false, 10, 426.9, 9.82, 10, 912.9, 208.13
4k, 8, 1, 1, true, 10, 283.9, 7.54, 10, 1111.0, 162.12
4k, 8, 1, 1, false, 10, 326.6, 19.68, 10, 1016.8, 189.83
4k, 9, 2, 0, true, 10, 389.4, 25.06, 10, 1709.7, 232.59
4k, 9, 2, 0, false, 10, 484.3, 30.69, 10, 960.5, 189.94
4k, 9, 2, 1, true, 10, 335.3, 22.0, 10, 1614.9, 313.61
4k, 9, 2, 1, false, 10, 403.7, 34.34, 10, 1046.1, 162.71
4k, 9, 4, 0, true, 10, 392.8, 26.08, 10, 1533.9, 217.86
4k, 9, 4, 0, false, 10, 472.0, 33.03, 10, 1186.8, 207.21
4k, 9, 4, 1, true, 10, 334.1, 20.39, 10, 1664.4, 359.63
4k, 9, 4, 1, false, 10, 420.9, 27.78, 10, 1260.5, 439.93
4k, 9, 6, 0, true, 10, 434.3, 49.97, 10, 1531.4, 462.98
4k, 9, 6, 0, false, 10, 475.9, 28.92, 10, 939.3, 258.54
4k, 9, 6, 1, true, 10, 372.5, 36.08, 10, 1355.7, 493.9
4k, 9, 6, 1, false, 10, 423.9, 29.57, 10, 906.8, 218.02
4k, 10, 1, 0, true, 10, 373.4, 25.99, 10, 831.7, 164.83
4k, 10, 1, 0, false, 10, 484.9, 45.54, 10, 991.4, 195.08
4k, 10, 1, 1, true, 10, 321.2, 21.47, 10, 767.9, 170.24
4k, 10, 1, 1, false, 10, 415.4, 47.4, 10, 1000.4, 148.24
5k, 1, 1, 0, true, 10, 2137.8, 117.4, 10, 11509.8, 510.54
5k, 1, 1, 0, false, 10, 2135.9, 120.88, 10, 3161.3, 159.32
5k, 1, 1, 1, true, 10, 1634.6, 24.15, 10, 11000.6, 443.7
5k, 1, 1, 1, false, 10, 1655.7, 80.13, 10, 2968.6, 135.22
5k, 2, 2, 0, true, 10, 1784.0, 85.6, 10, 1815.9, 152.18
5k, 2, 2, 0, false, 10, 2204.5, 118.62, 10, 3639.5, 198.43
5k, 2, 2, 1, true, 10, 1365.8, 169.06, 10, 1828.7, 160.07
5k, 2, 2, 1, false, 10, 1872.4, 216.92, 10, 3786.7, 385.95
